Setor;Modelo;Tipo;Serie;Patrimonio;Filial;Status;
10287;OP. DE CAIXA;4;;;;;
10289;OP. DE CAIXA;4;;;;;
10291;OP. DE CAIXA;4;;;;;
10292;OP. DE CAIXA ;4;;;;;
10293;OP. DE CAIXA;4;;;;;
10295;OP. DE CAIXA;4;;;;;
10296;OP. DE CAIXA;4;;;;;
10307;OP. DE CAIXA;4;;;;;
10368;OP. DE CAIXA;4;;;;;
10434;OP. DE CAIXA;4;;;;;
10435;OP. DE CAIXA;4;;;;;
10775;OP. DE CAIXA;4;;;;;
30163;OP. DE CAIXA;4;;;;;
30298;OP. DE CAIXA ;4;;;;;
30339;OP. DE CAIXA;4;;;;;
30348;OP. DE CAIXA;4;;;;;
30381;OP. DE CAIXA;4;;;;;
30391;OP. DE CAIXA ;4;;;;;
30413;OP. DE CAIXA;4;;;;;
30425;OP. DE CAIXA;4;;;;;
30436;OP. DE CAIXA;4;;;;;
30451;OP. DE CAIXA;4;;;;;
30725;OP. DE CAIXA;4;;;;;
ACOUGUE;TOLEDO PRIX 5 PLUS;BALANCA;11325613;180148;4;True;
ACOUGUE;TOLEDO PRIX 5 PLUS;BALANCA;11150823;180124;4;True;
ACOUGUE;TOLEDO PRIX 5 PLUS;BALANCA;11211596;180123;4;True;
ALMOXARIFADO;AOC E1670SW;MONITOR;HPD481A00214;;4;True;
ALMOXARIFADO;DELL OPTIPLEX 780;PC;5VHNYK1;10432;4;True;
CPD;BEMATECH MP 4000 TH FI;ECF;BE091210100011209361;90650;4;False;
CPD;SYMBOL STB4278;LEITOR;1,0319E+12;;4;False;
CPD;BEMATECH RC 8300;PC;BE102081003000000969;10511;4;False;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE090910100010012350;90225;4;False;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE091110100011265090;90607;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE091210100011210449;90651;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE090910100010012271;90218;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE091210100011210476;90548;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE091110100011271903;90608;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE091110100011265160;90606;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE091210100011210549;90687;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE091210100011210448;90652;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE091210100011210515;90655;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE091110100011265159;90605;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE091110100011265031;90604;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE090910100010012809;90224;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE090910100010012359;90220;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE090910100010012732;90230;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE091110100011253962;90226;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE091210100011209365;90654;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE091210100011210504;90656;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE090910100010012660;90231;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE091210100011209366;90649;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE091210100011210521;90641;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE091210100011209360;90646;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE091210100011209376;90647;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE090910100010012718;90228;4;True;
FRENTE DE CAIXA;BEMATECH MP 4000 TH FI;ECF;BE091110100011254597;90142;4;True;
