Setor,Modelo,Tipo,Serie,Patrimonio,Filial,Status
FRENTE DE CAIXA,TOLEDO PRIX 4,BALANCA,10136709,180039,4,PRODUCAO
CPD,TOLEDO PRIX 5 PLUS,BALANCA,10187291,180046,4,BACKUP
SOE,TOLEDO PRIX 5,BALANCA,10187289,180010,4,PRODUCAO
CPD,BEMATECH MP 4000 TH FI,BALANCA,BE090910100010012273,90229,4,PRODUCAO
CPD,TOLEDO ITI 2003-352180,BALANCA,8002197KB,180005,4,PRODUCAO
PADARIA,TOLEDO PRIX 5 PLUS,BALANCA,11119576,180104,4,PRODUCAO
ACOUGUE,TOLEDO PRIX 5 PLUS,BALANCA,11150823,180124,4,PRODUCAO
ACOUGUE,TOLEDO PRIX 5 PLUS,BALANCA,11211596,180123,4,PRODUCAO
ACOUGUE,TOLEDO PRIX 5 PLUS,BALANCA,11325613,180148,4,PRODUCAO
FATIADOS,TOLEDO PRIX 5 PLUS,BALANCA,11325615,180149,4,PRODUCAO
HORTIFRUTI,TOLEDO PRIX 5 PLUS,BALANCA,11325601,180147,4,PRODUCAO
HORTIFRUTI,TOLEDO PRIX 5 PLUS,BALANCA,10843019,180165,4,PRODUCAO
SALAO,TOLEDO PRIX 5 PLUS,BALANCA,11030000,180093,4,PRODUCAO
CONGELADOS,TOLEDO PRIX 5 PLUS,BALANCA,10815433,180083,4,PRODUCAO
CPD,TOLEDO PRIX 5 PLUS,BALANCA,10815434,180084,4,BACKUP
CONGELADOS,TOLEDO PRIX 5 PLUS,BALANCA,11093730,180114,4,PRODUCAO
SALAO,TOLEDO PRIX 5 PLUS,BALANCA,11145926,180115,4,PRODUCAO
PREPARO FATIADOS,TOLEDO PRIX 5 PLUS,BALANCA,10187288,180013,4,PRODUCAO
FRENTE DE CAIXA,TOLEDO 2124,BALANCA,10362354,180004,4,PRODUCAO
CPD,GERTEC TC 505,BUSCA PRECO,2070311430,,4,BACKUP
SALAO,GERTEC TC 505,BUSCA PRECO,???,,4,PRODUCAO
SALAO,GERTEC TC 505,BUSCA PRECO,2100424574,140022,4,PRODUCAO
FRIOS,GERTEC TC 506,BUSCA PRECO,2100424574,140022,4,PRODUCAO
SALAO,GERTEC TC 505,BUSCA PRECO,2070311308,140107,4,PRODUCAO
FRIOS,GERTEC TC 506,BUSCA PRECO,2070311308,140107,4,PRODUCAO
SALAO,GERTEC TC 505,BUSCA PRECO,2070311359,140024,4,PRODUCAO
FRIOS,GERTEC TC 506,BUSCA PRECO,2070311359,140024,4,PRODUCAO
FRIOS,GERTEC TC 506,BUSCA PRECO,409111501028337,140121,4,PRODUCAO
SALAO,GERTEC TC 505,BUSCA PRECO,"1,04091115010283E+016",100121,4,PRODUCAO
SALAO,GERTEC TC 505,BUSCA PRECO,2070311433,140119,4,PRODUCAO
SALAO,GERTEC TC 505,BUSCA PRECO,409111501028358,140123,4,PRODUCAO
