Filial,Operadora,Designacao,Servico,Abertura,Urla
Ceasa,Oi,BHE 6207448 - 2104 7600,Tronco chave para liga??es externas - Loja,0800 721 1021,3
Ceasa,Oi,31 2104 7700 - BHE 5673900,Tronco chave CallCenter,0800 031 8031,0 - 4
Ceasa,Oi,3394-2469 - 5910277,Velox Ceasa,0800 031 8031,0 - 3
Ceasa,T1 Telecom,Link R?dio 10Mb,Radio Ceasa p/ CD,8482 5052,Alisson
AMPA,OI,BHE 6861708,Central telef?nica,0800 031 80 31,
DULCE / SION,Oi,MCL 5062054 38 2101 7000,Tronco chave para liga??es externas,0800 031 8031,0 - 2
DULCE / SION,Oi,3222-3232,Central Alarme,,
DULCE / SION,Oi,3213-4996,Cart?o Atacado,0800 031 8031,0 - 2
DULCE / SION,Oi,3223-2047,Cart?o Varejo,,
DULCE / SION,Digitro,Central Telef?nica 632236,Central Digitro - controla as liga??es internas e aplicativo do callcenter Easy Call,0300 789 8111,Atendimento direto
Ceanorte,Oi,38-3223-9926 ,Linha Pedido Loja,0800 031 8031,0-7
Ceanorte,Oi,38-3212-4792,Linha,0800 031 8031,0-6
Ceanorte,Oi,38-3212-5686,Linha,0800 031 8031,0-5
Ceanorte,Oi,38-3215-9488,Linha,0800 031 8031,0-4
Ceanorte,Oi,38-3215-9735,Linha Pedido Casa/Cozinha,0800 031 8031,0-4
Ceanorte,Digitro,Central digitro Ceanorte 632237,Central Digitro - controla as liga??es internas e aplicativo do callcenter PDAGT,0300 789 8111,Atendimento direto
Ceanorte,Oi,MCL 5054898 - Digitronco 3229-9600,Tronco Chave,0803 031 8031,0-4
CD,Oi, RNS - 5030160 2191 7800,Tronco chave para liga??es externas Loja,0800 031 8031,0 - 4
CD,Embratel,RNS/IP/00184    RNS/IP/00185  ,Link de internet - CD - 4MB,0800 721 1021,3
CD,Oi, RNS 5020106,Concentrador MPLS de 20 MB,0800 031 8031,
CD,Oi, RNS 5033110,Ip Conect  - redund?ncia Internet 20 MB,0800 031 8031,
CD,Oi,31 3627 1094,Fax Mesa Mara,0800 031 8031,0 - 2
CD,Oi,31 3627 1048,Secret?ria presid?ncia,,
CD,Oi,31 3627 1008,Fax VirgIlio,,
CD,Oi,31 3627 1004,Central de Alarme,,
CD,Oi,31 3627 1140,Rayssa,,
CD,Digitro,Central Telef?nica 311903,Central Digitro - controla as liga??es internas e aplicativo do callcenter PDAGT,0300 789 8111,Atendimento direto
CD,Oi,0800 039 60 60,Servi?o 0800 da Oi no CD,,
CD,Algar,197505,Link Internet 20mbps,0800 942 54 27,
CD,Algar,197505,Link Internet 20mbps,0800 940 2999,
COF,Oi,31 3865 2500 - CRF 5017032,Tronco chave para liga??es externas,0800 031 8031,0 - 4
COF,Oi,31 3841 2066,Central Alarme,0800 031 8031,0 - 2
COF,Oi,31 3841 1514  Cancel Mar?o 2016,Maquineta cart?o  - Visa,,
COF,Oi,31 3842 8076 Cancel Abril 2016,Maquineta cart?o  - Master,,
COF,Oi,31 3842 1288,Caixa Express Itau,,
COF,Digitro,Central Telef?nica 460728,Central Digitro - controla as liga??es internas e aplicativo do callcenter Easy Call,0300 789 8111,Atendimento direto
TITO,Oi, BHE 6597060 -  31 2101 5400,Tronco chave para liga??es externas,0800 031 80 31,3
TITO,Digitro,Central Telef?nica 230957,Central Digitro - controla as liga??es internas e aplicativo do callcenter EasyCall,0300 789 8111,Atendimento direto
JUIZ DE FORA,Oi,32 3692 5300 JFA 5114888,Tronco chave para liga??es externas,0800 031 8031,0 - 4
JUIZ DE FORA,Oi,32 3222-2789,Linha Velox,0800 031 8031,0 - 4
JUIZ DE FORA,Digitro,Central Telef?nica 547253,Central Digitro - controla as liga??es internas e aplicativo do callcenter Easy Call,0300 789 8111,Atendimento direto
VAZ DE MELO,Oi,BHE  6086045,Digitronco Oi 3389-4050,0800 031 8031,0 - 4
VAZ DE MELO,Digitro,660398,Central digitro,,
SION,Oi, 3218 - 8700   MCL 5056172  ,Digitronco Oi - Tronco chave,0800 031 8031,0 - 4
SION,,Central Digitro651980,Digitro,,
EG,GVT,2523-6430,Linha Loja Ed. Gomes - Sitef/Redund?ncia VPN,10315,
EG,OI,BHE - 6279737 3419-5300,Digitronco faixa,0800 031 80 31,
JUST,OI, JUST 5053785,Tronco Chave - Digitronco 3632-9100,0800 031 80 31,
AUTO,OI,DVL5081396,  DIGITRONCO 37 3216-9350,0800 031 80 31,
AUTO,Oi,Linha varejo,37 3214-2415  - 3222-1491,,
P2,OI,BHE 6386717,Link de Voz - 31 3279-2300,,
JJ,OI,BHE 6553892,Link de Voz -  031 3198-7050,,
TROPICAL,OI,BHE 6557620,31 3198-6550,0800 031 8031,
JARAGUA,OI,MCL 5075414,38 3224-6950,0800 031 80 31,
HM,OI,BHE 6710137,31 3328-0900,,
MN,OI,BHE 6710139,31 3369-8000,,
CS,OI,BHE 6745170,,,
SL,OI,SLU 5051643,3419-5300,,
JATAI,OI,GNA 0602368,64 3605-3450,,
ITABIRA,OI,IBA 5049550,31 3816-0400,,
MOC  CULA,OI,MCL 5085484,,,
