nome,modelo,serie,patrimonio,status,setor,filial,obs
PC,DELL OPTIPLEX 3010,9H0J0Y1,,FALSE,COMERCIAL,7,
PC,DELL OPTIPLEX 380,6NC7GM1,10571,FALSE,SOE,7,
PC,DELL OPTIPLEX 760,4VHNYK1,,FALSE,ENGENHARIA,7,
PC,HP COMPAQ 300B MT,BRG042FMYY,,FALSE,COMPRAS,7,
PC,DELL OPTIPLEX 3020,G6H3NZ1,,FALSE,COMPRAS,7,
PC,DELL OPTIPLEX 760,6VHNYK1,,TRUE,PORTARIA,7,
PC,DELL OPTIPLEX 790,C0MT8S1,,FALSE,COMPRAS,7,
PC,DELL OPTIPLEX 3020,75H3NZ1,,FALSE,COMPRAS,7,
PC,DELL OPTIPLEX 3020,H7N3NZ1,,TRUE,TRUE,7,
PC,DELL OPTIPLEX 3020,54H3NZ1,,FALSE,C. PAGAR,7,
PC,DELL OPTIPLEX 380,C2Q2JM1,10567,FALSE,C. PAGAR,7,
PC,DELL OPTIPLEX 760,G2MXHL1,10576,FALSE,C. PAGAR,7,
PC,DELL OPTIPLEX 790,JTYXRR1,,FALSE,C. PAGAR,7,
PC,DELL OPTIPLEX 3010,1YTH6W1,,FALSE,C. PAGAR,7,
PC,DELL OPTIPLEX 320,3129ZC1,10583,FALSE,COMERCIAL,7,
PC,DELL OPTIPLEX 390,G2N52V1,,FALSE,C. RECEBER,7,
PC,DELL OPTIPLEX 320,8129ZC1,10582,TRUE,TRUE,7,
PC,HP COMPAQ DX7400,BRG824F5NM,10609,FALSE,COMERCIAL,7,
PC,DELL OPTIPLEX 3020,35H3NZ1,,FALSE,C. RECEBER,7,
PC,HP COMPAQ DX7400,BRG824F5L5,10620,FALSE,COMERCIAL,7,
PC,DELL OPTIPLEX 755,5HGQVG1,10606,FALSE,SND,7,
PC,DELL OPTIPLEX 390,GJCD2V1,,FALSE,CPD,7,
PC,DELL OPTIPLEX 360,45MFLK1,,FALSE,C. RECEBER,7,
PC,DELL OPTIPLEX 755,6HGQVG1,10607,FALSE,CREDITO,7,
PC,HP COMPAQ 300B MT,BRG045G5ST,,FALSE,CREDITO,7,
PC,DELL OPTIPLEX 790,6RYXRR1,10863,FALSE,CREDITO,7,
PC,DELL OPTIPLEX 3010,DPPT0Y1,,FALSE,CREDITO,7,
PC,DELL OPTIPLEX 3010,HMMG6W1,10875,FALSE,FINANCEIRO,7,
PC,HP COMPAQ DX7400,BRG816F76F,,TRUE,TRUE,7,
PC,DELL OPTIPLEX 3010,3TFM6W1,,FALSE,FINANCEIRO,7,
PC,HP PRO MS 219,4CS00507L8,,FALSE,COMERCIAL,7,
PC,DELL OPTIPLEX 390,7QL53V1,10845,FALSE,CONTROLADORIA,7,
NOTEBOOK,DELL VOSTRO 3560,5KKL6W1,,FALSE,ENGENHARIA,7,
NOTEBOOK,DELL LATITUDE E5520,5SDN8R1,,FALSE,CPD,7,
NOTEBOOK,DELL VOSTRO 3560,5C0X0Y1,315992986,FALSE,FINANCEIRO,7,
NOTEBOOK,LENOVO THINKPAD SL410,L1BAR627826,10584,TRUE,TRUE,7,
PC,DELL OPTIPLEX 3010,FH0Q0Y1,,FALSE,RH,7,
PC,HP COMPAQ DX2200M,BRB737002B,10644,TRUE,CPD,7,
PC,DELL OPTIPLEX 330,8NP7JH1,,FALSE,RH,7,
PC,DELL OPTIPLEX 3010,JMMG6W1,10878,FALSE,DP,7,
PC,DELL OPTIPLEX 780,229LWQ1,,FALSE,DP,7,
PC,DELL OPTIPLEX 780,DY8LWQ1,,FALSE,DP,7,
PC,DELL OPTIPLEX 780,G39LWQ1,,FALSE,DP,7,
PC,HP COMPAQ 300B MT,BRG050G86J,,FALSE,DP,7,
PC,HP COMPAQ DX7400,BRG824F5NT,,FALSE,DP,7,
PC,DELL OPTIPLEX 780,829LWQ1,,FALSE,DP,7,
PC,DELL OPTIPLEX 790,C0N49S1,,FALSE,DP,7,
PC,DELL OPTIPLEX 3020,DT79M22,,FALSE,DP,7,
